Region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Beijing,62361.22,57229.83,52530.38,48457.99,44488.57,40830.04,,,,
Tianjin,39506.15,37022.33,34074.46,31291.36,28832.29,26359.20,,,,
Hebei,23445.65,21484.13,19725.42,18118.09,16647.40,15189.64,,,,
Shanxi,21990.14,20420.01,19048.88,17853.67,16538.32,15119.72,,,,
Inner Mongolia,28375.65,26212.23,24126.64,22310.09,20559.34,18692.89,,,,
Liaoning,29701.45,27835.44,26039.70,24575.58,22820.15,20817.84,,,,
Jilin,22798.37,21368.32,19966.99,18683.70,17520.39,15998.12,,,,
Heilongjiang,22725.85,21205.79,19838.50,18592.65,17404.39,15903.45,,,,
Shanghai,64182.65,58987.96,54305.35,49867.17,45965.83,42173.64,,,,
Jiangsu,38095.79,35024.09,32070.10,29538.85,27172.77,24775.54,,,,
Zhejiang,45839.84,42045.69,38529.00,35537.09,32657.57,29774.99,,,,
Anhui,23983.58,21863.30,19998.10,18362.57,16795.52,15154.31,,,,
Fujian,32643.93,30047.75,27607.93,25404.36,23330.85,21217.95,,,,
Jiangxi,24079.68,22031.45,20109.56,18437.11,16734.17,15099.68,,,,
Shandong,29204.61,26929.94,24685.27,22703.19,20864.21,19008.26,,,,
Henan,21963.54,20170.03,18443.08,17124.75,15695.18,14203.71,,,,
Hubei,25814.54,23757.17,21786.64,20025.56,18283.23,16472.46,,,,
Hunan,25240.75,23102.71,21114.79,19317.49,17621.74,16004.90,,,,
Guangdong,35809.90,33003.29,30295.80,27858.86,25684.96,23420.75,,,,
Guangxi,21485.03,19904.76,18305.08,16873.42,15557.08,14082.30,,,,
Hainan,24579.04,22553.24,20653.44,18978.97,17476.46,15733.28,,,,
Chongqing,26385.84,24152.99,22034.14,20110.11,18351.90,16568.67,,,,
Sichuan,22460.55,20579.82,18808.26,17220.96,15749.01,14230.99,,,,
Guizhou,18430.18,16703.65,15121.15,13696.61,12371.06,11083.06,,,,
Yunnan,20084.19,18348.34,16719.90,15222.57,13772.21,12577.87,,,,
Tibet,17286.06,15457.30,13639.24,12254.30,10730.22,9740.43,,,,
Shaanxi,22528.26,20635.21,18873.74,17394.98,15836.75,14371.55,,,,
Gansu,17488.39,16011.00,14670.31,13466.59,12184.71,10954.40,,,,
Qinghai,20757.26,19001.02,17301.76,15812.70,14373.98,12947.84,,,,
Ningxia,22400.42,20561.66,18832.28,17329.09,15906.78,14565.78,,,,
Xinjiang,21500.24,19975.10,18354.65,16859.11,15096.62,13669.62,,,,
